2025-12-02T10:23:38.972922-08:00 | source=vpn_autoconnect | level=INFO | msg=[2025-10-13T23:21:09.256781] SSID='<unknown>' public=True status='unknown'
2025-12-02T10:23:38.972922-08:00 | source=vpn_guardian | level=INFO | msg={"level": "INFO", "event": "vpn_guardian_check", "ssid": "", "on_public": false, "vpn_active": false, "mode": "log_on...
2025-12-02T11:41:58.958405-08:00 | source=vpn_autoconnect | level=INFO | msg=[2025-10-13T23:21:09.256781] SSID='<unknown>' public=True status='unknown'
2025-12-02T11:41:58.958405-08:00 | source=vpn_guardian | level=INFO | msg={"level": "INFO", "event": "vpn_guardian_check", "ssid": "", "on_public": false, "vpn_active": false, "mode": "log_on...
2025-12-02T13:07:47.319806-08:00 | source=vpn_autoconnect | level=INFO | msg=[2025-10-13T23:21:09.256781] SSID='<unknown>' public=True status='unknown'
2025-12-02T13:07:47.319806-08:00 | source=vpn_guardian | level=INFO | msg={"level": "INFO", "event": "vpn_guardian_check", "ssid": "", "on_public": false, "vpn_active": false, "mode": "log_on...
2025-12-02T13:26:59.569978-08:00 | source=vpn_autoconnect | level=INFO | msg=[2025-10-13T23:21:09.256781] SSID='<unknown>' public=True status='unknown'
2025-12-02T13:26:59.569978-08:00 | source=vpn_guardian | level=INFO | msg={"level": "INFO", "event": "vpn_guardian_check", "ssid": "", "on_public": false, "vpn_active": false, "mode": "log_on...
2025-12-02T14:17:19.851566-08:00 | source=vpn_autoconnect | level=INFO | msg=[2025-10-13T23:21:09.256781] SSID='<unknown>' public=True status='unknown'
2025-12-02T14:17:19.851566-08:00 | source=vpn_guardian | level=INFO | msg={"level": "INFO", "event": "vpn_guardian_check", "ssid": "", "on_public": false, "vpn_active": false, "mode": "log_on...
2025-12-02T14:17:19.952851-08:00 | source=vpn_autoconnect | level=INFO | msg=[2025-10-13T23:21:09.256781] SSID='<unknown>' public=True status='unknown'
2025-12-02T14:17:19.952851-08:00 | source=vpn_guardian | level=INFO | msg={"level": "INFO", "event": "vpn_guardian_check", "ssid": "", "on_public": false, "vpn_active": false, "mode": "log_on...
2025-12-02T23:08:55.578941-08:00 | source=vpn_autoconnect | level=INFO | msg=[2025-10-13T23:21:09.256781] SSID='<unknown>' public=True status='unknown'
2025-12-02T23:08:55.578941-08:00 | source=vpn_guardian | level=INFO | msg={"level": "INFO", "event": "vpn_guardian_check", "ssid": "", "on_public": false, "vpn_active": false, "mode": "log_on...
2025-12-02T23:08:55.692155-08:00 | source=vpn_autoconnect | level=INFO | msg=[2025-10-13T23:21:09.256781] SSID='<unknown>' public=True status='unknown'
2025-12-02T23:08:55.692155-08:00 | source=vpn_guardian | level=INFO | msg={"level": "INFO", "event": "vpn_guardian_check", "ssid": "", "on_public": false, "vpn_active": false, "mode": "log_on...
2025-12-03T23:08:39.341602-08:00 | source=vpn_autoconnect | level=INFO | msg=[2025-10-13T23:21:09.256781] SSID='<unknown>' public=True status='unknown'
2025-12-03T23:08:39.341602-08:00 | source=vpn_guardian | level=INFO | msg={"level": "INFO", "event": "vpn_guardian_check", "ssid": "", "on_public": false, "vpn_active": false, "mode": "log_on...
2025-12-03T23:08:39.441802-08:00 | source=vpn_autoconnect | level=INFO | msg=[2025-10-13T23:21:09.256781] SSID='<unknown>' public=True status='unknown'
2025-12-03T23:08:39.441802-08:00 | source=vpn_guardian | level=INFO | msg={"level": "INFO", "event": "vpn_guardian_check", "ssid": "", "on_public": false, "vpn_active": false, "mode": "log_on...
2025-12-04T23:08:46.340482-08:00 | source=vpn_autoconnect | level=INFO | msg=[2025-10-13T23:21:09.256781] SSID='<unknown>' public=True status='unknown'
2025-12-04T23:08:46.340482-08:00 | source=vpn_guardian | level=INFO | msg={"level": "INFO", "event": "vpn_guardian_check", "ssid": "", "on_public": false, "vpn_active": false, "mode": "log_on...
2025-12-04T23:08:46.440220-08:00 | source=vpn_autoconnect | level=INFO | msg=[2025-10-13T23:21:09.256781] SSID='<unknown>' public=True status='unknown'
2025-12-04T23:08:46.440220-08:00 | source=vpn_guardian | level=INFO | msg={"level": "INFO", "event": "vpn_guardian_check", "ssid": "", "on_public": false, "vpn_active": false, "mode": "log_on...
2025-12-05T23:08:44.832063-08:00 | source=vpn_autoconnect | level=INFO | msg=[2025-10-13T23:21:09.256781] SSID='<unknown>' public=True status='unknown'
